;;;;;;;;
;metine;;sausio;;liepos;;vid. t. ;pokytis
;;;;;;;;
;1995;1996;1997;1998;1999;2000;;
Biržai;6.9;5.2;6.5;6.4;7.4;7.5;;
Laukuva;6.3;4.7;6.2;5.9;7.0;8.3;;
Kaunas;7.1;5.6;6.9;6.8;7.8;9.0;;
Klaipėda;7.9;6.3;7.7;7.4;8.4;8.0;;
Šiauliai;6.9;5.0;6.6;6.5;7.6;7.7;;
Utena;6.8;5.1;6.3;6.4;7.4;8.0;;
Varėna;6.9;5.4;6.4;6.6;7.6;7.8;;
Vilnius;6.7;5.3;6.3;6.4;7.6;7.5;;
